Year,Adjusted,Prelim,Period,Labor Force,No.of Employed,No.of Unemployed,Unemployment Rate %
1991,Not Adj,Not Prelim,Jul,410600,385600,25100,6.1
1991,Not Adj,Not Prelim,Aug,412400,387200,25200,6.1
1991,Not Adj,Not Prelim,Sep,405900,381600,24200,6
1991,Not Adj,Not Prelim,Oct,410200,387200,23000,5.6
1991,Not Adj,Not Prelim,Nov,408500,386700,21800,5.3
1991,Not Adj,Not Prelim,Dec,409500,388400,21100,5.1
1990,Not Adj,Not Prelim,Annual,409300,393900,15400,3.8
1990,Not Adj,Not Prelim,Jan,409500,394200,15300,3.7
1990,Not Adj,Not Prelim,Feb,407500,393900,13700,3.4
1990,Not Adj,Not Prelim,Mar,407700,394700,13000,3.2
1990,Not Adj,Not Prelim,Apr,407400,393500,13900,3.4
1990,Not Adj,Not Prelim,May,405300,391500,13800,3.4
1990,Not Adj,Not Prelim,Jun,408600,394000,14600,3.6
1990,Not Adj,Not Prelim,Jul,416600,398100,18500,4.4
1990,Not Adj,Not Prelim,Aug,413400,395500,17900,4.3
1990,Not Adj,Not Prelim,Sep,407300,390500,16800,4.1
1990,Not Adj,Not Prelim,Oct,411700,395800,16000,3.9
1990,Not Adj,Not Prelim,Nov,408300,392400,15900,3.9
1990,Not Adj,Not Prelim,Dec,407800,392600,15200,3.7
